x,y,h_mean
713595.2726,5359272.133,519.6598043
713592.7182,5359292.006,518.1130612
710825.3776,5356337.798,1074.40682
713590.1622,5359311.88,516.5920911
710822.8306,5356357.672,1070.744814
710414.5466,5358769.503,801.0433287
713587.5944,5359331.751,515.8484046
710411.9741,5358789.375,813.1913851
710409.3893,5358809.245,825.178651
710406.7874,5358829.113,836.387174
710404.1752,5358848.98,846.2559461
710401.5511,5358868.845,854.5472624
710398.8884,5358888.705,863.0721815
710396.2045,5358908.562,871.7008695
710393.5024,5358928.416,879.271019
710388.1876,5358967.707,888.9321416
710385.4905,5358987.791,892.9544658
710382.812,5359007.851,896.5831793
710380.1889,5359027.716,899.7082887
713960.6565,5357178.094,881.6874257
710377.6099,5359047.587,901.7242091
713958.1693,5357197.977,872.1497514
710375.0596,5359067.462,902.5138246
710372.5241,5359087.339,902.5948334
710370.0602,5359106.795,901.0638223
710367.5137,5359126.854,900.1788011
710364.9566,5359146.974,899.2281302
710772.137,5356755.21,948.6263626
710362.4256,5359166.851,896.2177048
710359.8906,5359186.728,892.434416
710357.3404,5359206.603,887.1068999
710354.7794,5359226.476,881.4184352
710344.4479,5359305.958,855.5449858
710336.6303,5359365.56,836.8166603
710334.0393,5359385.429,830.056358
710326.2892,5359445.041,815.4482784
710316.1697,5359524.55,791.7999033
710313.634,5359544.427,786.8235232
710311.0789,5359564.301,783.2693889
710308.5109,5359584.174,780.1524209
710303.3017,5359623.908,774.7101651
710300.6656,5359643.772,773.6699454
710295.3859,5359683.497,773.244222
710292.7512,5359703.361,773.5917714
710284.9239,5359762.962,778.3736799
710282.3456,5359782.833,780.4570487
710279.7671,5359802.704,782.71231
710269.4078,5359882.183,787.1355509
710266.7529,5359902.043,790.0664441
710264.0888,5359921.903,793.5101789
710261.4253,5359941.763,796.9218794
710258.7774,5359961.625,798.8938707
710256.1459,5359981.489,799.9061234
710253.521,5360001.354,800.825936
710250.9199,5360021.222,801.7364203
710248.3588,5360041.095,801.8417649
710245.8009,5360060.969,801.8605832
710243.2287,5360080.841,802.4592654
710221.8889,5360239.714,791.5689211
710219.1888,5360259.569,784.931916
710216.4934,5360279.424,778.6789128
710208.5436,5360339.009,761.8612593
710205.9237,5360358.875,758.9022401
710203.312,5360378.741,758.0423017
710200.7085,5360398.609,758.2474757
710608.9187,5358006.983,751.9102026
710198.118,5360418.478,758.5548633
710606.258,5358026.844,750.7242742
710195.5419,5360438.35,758.0206841
710603.5758,5358046.701,749.508459
710192.9854,5360458.224,755.9174811
710600.8672,5358066.555,748.2360386
710598.1506,5358086.407,746.935917
710170.0324,5360637.095,660.6467057
713334.7326,5361258.811,462.00285
713332.1409,5361278.68,462.1761756
713329.5509,5361298.549,462.264762
706978.5974,5360213.962,591.0971196
713326.9513,5361318.416,462.7513701
713319.1002,5361378.012,462.9257623
710143.848,5360835.752,542.3989521
713316.4389,5361397.872,463.815777
706965.3539,5360313.274,580.9890197
710141.2155,5360855.616,538.6144672
710138.5986,5360875.481,534.0080301
713311.0665,5361437.583,464.2965063
710135.9951,5360895.349,529.9164159
713308.3564,5361457.436,464.1353545
710133.5616,5360913.883,526.8413251
710539.9528,5358523.375,712.5593786
713305.6411,5361477.288,463.7420952
710537.252,5358543.23,711.912364
713302.9426,5361496.924,463.572353
706952.3603,5360412.619,577.9128212
710128.1462,5360954.947,520.1632554
710534.5471,5358563.084,711.339031
713300.2037,5361516.852,463.28709
706949.7579,5360432.488,577.900789
710125.5046,5360974.81,516.6885272
710531.84,5358582.938,710.7261629
713297.4547,5361536.839,463.1856709
710122.8433,5360994.67,514.3694775
710529.1294,5358602.792,710.3236861
713294.7278,5361556.69,463.3582036
710120.151,5361014.526,513.0560196
713292.0027,5361576.541,463.9568081
710117.4228,5361034.377,512.1341525
710523.6144,5358642.486,720.5051189
713289.2901,5361596.394,464.5503283
710114.6813,5361054.226,511.5330309
710520.8133,5358662.328,732.9207782
713286.5947,5361616.248,464.4962558
710111.9456,5361074.077,510.0476825
713283.9095,5361636.105,464.464063
706933.8854,5360551.664,592.2249703
713281.2277,5361655.961,464.729876
706931.1956,5360571.521,594.7122688
710106.5435,5361113.786,500.9697595
713278.5549,5361675.819,464.9643899
706928.5021,5360591.378,596.4266833
710103.8434,5361133.641,499.952077
713275.8892,5361695.678,465.1058551
706925.7995,5360611.233,596.3707808
710101.1605,5361153.498,499.6694188
713273.2318,5361715.538,465.2136588
706923.0957,5360631.088,596.7730558
710098.5148,5361173.36,499.7329059
713270.5782,5361735.398,465.2897604
706920.3879,5360650.943,598.2355312
710095.8944,5361193.225,499.1952063
713267.9234,5361755.258,465.4099892
706917.6756,5360670.797,600.4081329
710093.2842,5361213.092,499.2452264
713265.2647,5361775.118,465.5670792
